Id,Name,Address,City,State,Zip,Website
130,AUBURN CAREER CENTER,8140 AUBURN RD,CONCORD TWP,OH,44077,www.auburncc.org/
131,SOUTHERN CAREERS INSTITUTE-BROWNSVILLE,935 N. EXPRESSWAY,BROWNSVILLE,TX,78520,www.scitexas.edu/
132,LUBBOCK CHRISTIAN UNIVERSITY,5601 19TH STREET,LUBBOCK,TX,79407,https://www.lcu.edu/
133,BOSSIER PARISH COMMUNITY COLLEGE,6220 EAST TEXAS,BOSSIER CITY,LA,71111,www.bpcc.edu/
134,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,41 BERKELEY ST,BOSTON,MA,02116,www.bfit.edu/
135,SOUTHWEST TENNESSEE COMMUNITY COLLEGE,737 UNION AVENUE,MEMPHIS,TN,38103,www.southwest.tn.edu/
136,LINCOLN COLLEGE OF TECHNOLOGY-GRAND PRAIRIE,2915 ALOUETTE DRIVE,GRAND PRAIRIE,TX,75052,www.lincolntech.edu/campus/grand-prairie-tx
137,PAUL MITCHELL THE SCHOOL-SAN ANTONIO,"18402 US HIGHWAY 281, SUITE 124",SAN ANTONIO,TX,78259,paulmitchell.edu/sanantonio
138,COLUMBIANA COUNTY CAREER AND TECHNICAL CENTER,9364 ST RT 45,LISBON,OH,44432,www.ccctc.k12.oh.us/
139,EMPIRE BEAUTY SCHOOL-VIRGINIA BEACH,116 SOUTH INDEPENDENCE BOULEVARD,VIRGINIA BEACH,VA,23462,www.empire.edu/
140,CANTON CITY SCHOOLS ADULT CAREER AND TECHNICAL EDUCATION,2800 13TH STREET S.W.,CANTON,OH,44710,https://www.ccsdistrict.org/site/default.aspx?PageID=189
141,CAMERON UNIVERSITY,2800 WEST GORE BLVD,LAWTON,OK,73505,https://www.cameron.edu/
142,TENNESSEE TECHNOLOGICAL UNIVERSITY,1 WILLIAM L. JONES DRIVE,COOKEVILLE,TN,38505,www.tntech.edu/
143,BAYLOR UNIVERSITY,NOT AVAILABLE,WACO,TX,76798,www.baylor.edu/
144,WEST TEXAS A & M UNIVERSITY,2501 4TH AVE,CANYON,TX,79016,www.wtamu.edu/
145,OHIO UNIVERSITY-CHILLICOTHE CAMPUS,101 UNIVERSITY DRIVE,CHILLICOTHE,OH,45601,https://www.ohio.edu/chillicothe/
146,MERCYHURST UNIVERSITY,501 E 38TH ST,ERIE,PA,16546,www.mercyhurst.edu/
147,CHISHOLM TRAIL TECHNOLOGY CENTER,283 STATE HIGHWAY 33,OMEGA,OK,73764,www.cttc.edu/
148,UNIVERSITY OF PHOENIX-ARIZONA,4035 SOUTH RIVERPOINT PARKWAY,PHOENIX,AZ,85040,https://www.phoenix.edu/
149,UNIVERSITY OF PHOENIX-VIRGINIA,4636 COLUMBUS STREET,VIRGINIA BEACH,VA,23462,https://www.phoenix.edu
150,CALIFORNIA LUTHERAN UNIVERSITY,60 W OLSEN RD,THOUSAND OAKS,CA,91360,www.callutheran.edu/
151,THE CATHOLIC UNIVERSITY OF AMERICA,"620 MICHIGAN AVENUE, NE",WASHINGTON,DC,20064,https://www.catholic.edu/
152,CARRINGTON COLLEGE-BOISE,1122 N. LIBERTY ST.,BOISE,ID,83704,https://carrington.edu/
153,ILLINOIS VALLEY COMMUNITY COLLEGE,815 N ORLANDO SMITH ROAD,OGLESBY,IL,61348,https://www.ivcc.edu/
154,ARTISTIC ACADEMY OF HAIR DESIGN,"301 GIBRALTAR DRIVE, SUITE 1-A",MORRIS PLAINS,NJ,07950,www.artisticacademy.com/
155,WILKES-BARRE AREA CAREER AND TECHNICAL CENTER PRACTICAL NURSING,350 JUMPER RD,WILKES BARRE,PA,18705,https://www.wbpracnsg.com/
156,LORENZO WALKER TECHNICAL COLLEGE,3702 ESTEY AVENUE,NAPLES,FL,34104,lwtc.edu/
157,UNIVERSITY OF EVANSVILLE,1800 LINCOLN AVENUE,EVANSVILLE,IN,47722,www.evansville.edu/
158,ALMA COLLEGE,614 W SUPERIOR,ALMA,MI,48801,alma.edu/
159,UNIVERSITY SYSTEM OF MARYLAND,701 E. PRATT ST.,BALTIMORE,MD,21201,www.usmd.edu/
160,MCPHS UNIVERSITY,179 LONGWOOD AVE,BOSTON,MA,02115,www.mcphs.edu/
161,BETHEL UNIVERSITY,3900 BETHEL DR,SAINT PAUL,MN,55112,https://www.bethel.edu/
162,PAUL MITCHELL THE SCHOOL-MISSOURI COLUMBIA,1101 HUTCHENS DRIVE,COLUMBIA,MO,65203,missouricolumbia.paulmitchell.edu/
163,CHESTER COUNTY INTERMEDIATE UNIT,443 BOOT ROAD,DOWNINGTOWN,PA,19335,www.chestercountynursing.org/
164,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,9201 UNIVERSITY CITY BLVD,CHARLOTTE,NC,28223,https://www.uncc.edu/
165,EVANS HAIRSTYLING COLLEGE-REXBURG,67 WINN DR,REXBURG,ID,83440,www.evanshairstylingcollege.com/
166,SAN JOAQUIN VALLEY COLLEGE-HESPERIA,9331 MARIPOSA ROAD,HESPERIA,CA,92344,www.sjvc.edu/
